age,weight,height,gender,goal,level,steps,location,mon,tue,wed,thu,fri,sat,sun
44,75,168,F,Масса,Продвинутый,4988,Зал,Тяга штанги в наклоне 4x10,Гиперэкстензия 3x15,Растяжка 15 мин,Присед 4x10,Йога 30 мин,Функционалка 30 мин,Йога 30 мин
35,86,180,M,Масса,Продвинутый,4341,Зал,Присед 4x10,Плавание 45 мин,Кардио 30 мин,Тяга штанги в наклоне 4x10,Функционалка 30 мин,Плавание 45 мин,Гиперэкстензия 3x15
33,55,195,F,Масса,Средний,10531,Зал,Присед 4x10,Гиперэкстензия 3x15,Присед 4x10,Жим лёжа 4x8,Тяга штанги в наклоне 4x10,Гиперэкстензия 3x15,Бег 20 мин
21,84,169,M,Масса,Средний,10689,Зал,Гиперэкстензия 3x15,Плавание 45 мин,Функционалка 30 мин,Гиперэкстензия 3x15,Растяжка 15 мин,Шраги 3x12,Тяга штанги в наклоне 4x10
32,85,185,F,Масса,Средний,10478,Зал,Шраги 3x12,Присед 4x10,Кардио 30 мин,Йога 30 мин,Гиперэкстензия 3x15,Функционалка 30 мин,Тяга штанги в наклоне 4x10
42,77,169,F,Масса,Продвинутый,5823,Зал,Тяга штанги в наклоне 4x10,Гиперэкстензия 3x15,Плавание 45 мин,Жим лёжа 4x8,Плавание 45 мин,Тяга штанги в наклоне 4x10,Бег 20 мин
35,63,186,M,Масса,Начинающий,7216,Зал,Жим лёжа 4x8,Тяга штанги в наклоне 4x10,Плавание 45 мин,Жим лёжа 4x8,Гиперэкстензия 3x15,Тяга штанги в наклоне 4x10,Йога 30 мин
23,91,192,M,Масса,Продвинутый,9750,Зал,Присед 4x10,Растяжка 15 мин,Жим лёжа 4x8,Шраги 3x12,Бег 20 мин,Кардио 30 мин,Кардио 30 мин
48,76,172,M,Масса,Начинающий,7632,Зал,Плавание 45 мин,Плавание 45 мин,Кардио 30 мин,Тяга штанги в наклоне 4x10,Плавание 45 мин,Шраги 3x12,Йога 30 мин
51,61,165,M,Масса,Начинающий,11867,Зал,Растяжка 15 мин,Бег 20 мин,Кардио 30 мин,Бег 20 мин,Растяжка 15 мин,Функционалка 30 мин,Плавание 45 мин
23,90,172,F,Масса,Начинающий,9737,Зал,Гиперэкстензия 3x15,Йога 30 мин,Растяжка 15 мин,Шраги 3x12,Бег 20 мин,Бег 20 мин,Йога 30 мин
35,65,177,M,Масса,Средний,9889,Зал,Тяга штанги в наклоне 4x10,Присед 4x10,Шраги 3x12,Йога 30 мин,Функционалка 30 мин,Йога 30 мин,Тяга штанги в наклоне 4x10
38,95,168,F,Масса,Средний,6885,Зал,Кардио 30 мин,Тяга штанги в наклоне 4x10,Растяжка 15 мин,Кардио 30 мин,Функционалка 30 мин,Тяга штанги в наклоне 4x10,Жим лёжа 4x8
29,64,182,M,Масса,Продвинутый,9678,Зал,Растяжка 15 мин,Плавание 45 мин,Йога 30 мин,Жим лёжа 4x8,Гиперэкстензия 3x15,Плавание 45 мин,Функционалка 30 мин
32,80,165,F,Масса,Начинающий,9010,Зал,Гиперэкстензия 3x15,Бег 20 мин,Плавание 45 мин,Растяжка 15 мин,Кардио 30 мин,Тяга штанги в наклоне 4x10,Растяжка 15 мин
22,85,177,M,Масса,Продвинутый,6847,Зал,Тяга штанги в наклоне 4x10,Тяга штанги в наклоне 4x10,Йога 30 мин,Гиперэкстензия 3x15,Функционалка 30 мин,Бег 20 мин,Кардио 30 мин
31,57,178,F,Масса,Средний,4875,Зал,Йога 30 мин,Кардио 30 мин,Йога 30 мин,Кардио 30 мин,Гиперэкстензия 3x15,Плавание 45 мин,Присед 4x10
20,88,164,F,Масса,Начинающий,4134,Зал,Растяжка 15 мин,Йога 30 мин,Жим лёжа 4x8,Гиперэкстензия 3x15,Бег 20 мин,Функционалка 30 мин,Плавание 45 мин
41,66,178,M,Масса,Продвинутый,4207,Зал,Функционалка 30 мин,Шраги 3x12,Йога 30 мин,Бег 20 мин,Функционалка 30 мин,Бег 20 мин,Гиперэкстензия 3x15
29,85,165,F,Масса,Начинающий,6907,Зал,Жим лёжа 4x8,Плавание 45 мин,Кардио 30 мин,Гиперэкстензия 3x15,Присед 4x10,Бег 20 мин,Жим лёжа 4x8
45,70,195,M,Масса,Начинающий,9242,Зал,Плавание 45 мин,Бег 20 мин,Тяга штанги в наклоне 4x10,Жим лёжа 4x8,Кардио 30 мин,Бег 20 мин,Тяга штанги в наклоне 4x10
20,64,169,M,Масса,Начинающий,4222,Зал,Гиперэкстензия 3x15,Плавание 45 мин,Плавание 45 мин,Бег 20 мин,Жим лёжа 4x8,Бег 20 мин,Бег 20 мин
19,66,171,M,Масса,Продвинутый,9543,Зал,Шраги 3x12,Шраги 3x12,Функционалка 30 мин,Кардио 30 мин,Жим лёжа 4x8,Йога 30 мин,Кардио 30 мин
18,91,185,M,Масса,Продвинутый,11576,Зал,Шраги 3x12,Тяга штанги в наклоне 4x10,Кардио 30 мин,Плавание 45 мин,Йога 30 мин,Жим лёжа 4x8,Плавание 45 мин
28,94,189,F,Масса,Начинающий,9148,Зал,Функционалка 30 мин,Плавание 45 мин,Растяжка 15 мин,Функционалка 30 мин,Бег 20 мин,Жим лёжа 4x8,Присед 4x10
28,73,178,M,Масса,Продвинутый,8433,Зал,Бег 20 мин,Растяжка 15 мин,Тяга штанги в наклоне 4x10,Жим лёжа 4x8,Функционалка 30 мин,Кардио 30 мин,Йога 30 мин
52,58,168,M,Масса,Средний,4839,Зал,Присед 4x10,Кардио 30 мин,Бег 20 мин,Присед 4x10,Бег 20 мин,Тяга штанги в наклоне 4x10,Плавание 45 мин
34,79,190,F,Масса,Начинающий,11141,Зал,Шраги 3x12,Гиперэкстензия 3x15,Йога 30 мин,Растяжка 15 мин,Присед 4x10,Функционалка 30 мин,Функционалка 30 мин
50,79,161,M,Масса,Средний,5898,Зал,Шраги 3x12,Йога 30 мин,Жим лёжа 4x8,Гиперэкстензия 3x15,Плавание 45 мин,Шраги 3x12,Растяжка 15 мин
33,63,188,F,Масса,Начинающий,8477,Зал,Функционалка 30 мин,Растяжка 15 мин,Йога 30 мин,Гиперэкстензия 3x15,Шраги 3x12,Плавание 45 мин,Тяга штанги в наклоне 4x10
31,81,183,M,Масса,Продвинутый,11375,Зал,Шраги 3x12,Йога 30 мин,Функционалка 30 мин,Жим лёжа 4x8,Тяга штанги в наклоне 4x10,Кардио 30 мин,Бег 20 мин
39,88,160,M,Масса,Средний,4299,Зал,Функционалка 30 мин,Шраги 3x12,Растяжка 15 мин,Присед 4x10,Функционалка 30 мин,Плавание 45 мин,Тяга штанги в наклоне 4x10
44,89,173,M,Масса,Средний,11995,Зал,Жим лёжа 4x8,Плавание 45 мин,Шраги 3x12,Йога 30 мин,Функционалка 30 мин,Плавание 45 мин,Растяжка 15 мин
18,91,173,M,Масса,Продвинутый,11177,Зал,Плавание 45 мин,Плавание 45 мин,Бег 20 мин,Тяга штанги в наклоне 4x10,Йога 30 мин,Гиперэкстензия 3x15,Растяжка 15 мин
43,81,162,M,Масса,Начинающий,8551,Зал,Бег 20 мин,Йога 30 мин,Бег 20 мин,Плавание 45 мин,Кардио 30 мин,Йога 30 мин,Жим лёжа 4x8
35,72,173,M,Масса,Продвинутый,5024,Зал,Гиперэкстензия 3x15,Плавание 45 мин,Функционалка 30 мин,Шраги 3x12,Кардио 30 мин,Жим лёжа 4x8,Растяжка 15 мин
29,71,179,M,Масса,Средний,9890,Зал,Бег 20 мин,Плавание 45 мин,Растяжка 15 мин,Бег 20 мин,Шраги 3x12,Жим лёжа 4x8,Бег 20 мин
32,95,178,M,Масса,Продвинутый,6265,Зал,Присед 4x10,Жим лёжа 4x8,Присед 4x10,Бег 20 мин,Бег 20 мин,Бег 20 мин,Йога 30 мин
37,77,191,F,Масса,Начинающий,8498,Зал,Йога 30 мин,Плавание 45 мин,Йога 30 мин,Кардио 30 мин,Плавание 45 мин,Присед 4x10,Тяга штанги в наклоне 4x10
18,76,183,F,Масса,Средний,8003,Зал,Функционалка 30 мин,Кардио 30 мин,Функционалка 30 мин,Кардио 30 мин,Шраги 3x12,Гиперэкстензия 3x15,Бег 20 мин
39,94,170,M,Масса,Средний,8020,Зал,Кардио 30 мин,Функционалка 30 мин,Гиперэкстензия 3x15,Присед 4x10,Жим лёжа 4x8,Тяга штанги в наклоне 4x10,Тяга штанги в наклоне 4x10
47,68,193,M,Масса,Средний,8829,Зал,Йога 30 мин,Гиперэкстензия 3x15,Шраги 3x12,Кардио 30 мин,Тяга штанги в наклоне 4x10,Гиперэкстензия 3x15,Шраги 3x12
37,88,168,F,Масса,Средний,10415,Зал,Кардио 30 мин,Гиперэкстензия 3x15,Гиперэкстензия 3x15,Жим лёжа 4x8,Плавание 45 мин,Бег 20 мин,Кардио 30 мин
26,68,175,M,Масса,Продвинутый,7486,Зал,Плавание 45 мин,Гиперэкстензия 3x15,Гиперэкстензия 3x15,Шраги 3x12,Растяжка 15 мин,Присед 4x10,Гиперэкстензия 3x15
36,67,182,F,Масса,Средний,5711,Зал,Растяжка 15 мин,Йога 30 мин,Растяжка 15 мин,Функционалка 30 мин,Бег 20 мин,Плавание 45 мин,Бег 20 мин
35,61,176,M,Масса,Средний,4020,Зал,Гиперэкстензия 3x15,Функционалка 30 мин,Шраги 3x12,Кардио 30 мин,Функционалка 30 мин,Бег 20 мин,Гиперэкстензия 3x15
45,63,181,M,Масса,Средний,9225,Зал,Тяга штанги в наклоне 4x10,Присед 4x10,Бег 20 мин,Йога 30 мин,Растяжка 15 мин,Шраги 3x12,Гиперэкстензия 3x15
47,56,185,M,Масса,Начинающий,9521,Зал,Присед 4x10,Тяга штанги в наклоне 4x10,Жим лёжа 4x8,Шраги 3x12,Тяга штанги в наклоне 4x10,Кардио 30 мин,Кардио 30 мин
53,69,191,M,Масса,Начинающий,10004,Зал,Бег 20 мин,Присед 4x10,Растяжка 15 мин,Функционалка 30 мин,Растяжка 15 мин,Шраги 3x12,Жим лёжа 4x8
44,77,181,M,Масса,Средний,11771,Зал,Йога 30 мин,Шраги 3x12,Гиперэкстензия 3x15,Шраги 3x12,Растяжка 15 мин,Шраги 3x12,Растяжка 15 мин
21,79,180,M,Масса,Начинающий,10782,Зал,Функционалка 30 мин,Бег 20 мин,Функционалка 30 мин,Растяжка 15 мин,Тяга штанги в наклоне 4x10,Кардио 30 мин,Бег 20 мин
33,87,179,F,Масса,Начинающий,6558,Зал,Функционалка 30 мин,Шраги 3x12,Йога 30 мин,Гиперэкстензия 3x15,Кардио 30 мин,Плавание 45 мин,Бег 20 мин
48,77,175,M,Масса,Продвинутый,4762,Зал,Гиперэкстензия 3x15,Функционалка 30 мин,Присед 4x10,Гиперэкстензия 3x15,Жим лёжа 4x8,Бег 20 мин,Присед 4x10
47,82,188,F,Масса,Начинающий,5074,Зал,Бег 20 мин,Кардио 30 мин,Тяга штанги в наклоне 4x10,Гиперэкстензия 3x15,Гиперэкстензия 3x15,Присед 4x10,Присед 4x10
37,83,191,F,Масса,Средний,8960,Зал,Тяга штанги в наклоне 4x10,Йога 30 мин,Функционалка 30 мин,Кардио 30 мин,Функционалка 30 мин,Кардио 30 мин,Присед 4x10
43,83,175,M,Масса,Начинающий,6652,Зал,Жим лёжа 4x8,Гиперэкстензия 3x15,Растяжка 15 мин,Йога 30 мин,Растяжка 15 мин,Тяга штанги в наклоне 4x10,Плавание 45 мин
31,77,193,F,Масса,Продвинутый,8139,Зал,Плавание 45 мин,Плавание 45 мин,Жим лёжа 4x8,Растяжка 15 мин,Тяга штанги в наклоне 4x10,Плавание 45 мин,Гиперэкстензия 3x15
33,64,185,M,Масса,Средний,4766,Зал,Присед 4x10,Йога 30 мин,Жим лёжа 4x8,Функционалка 30 мин,Гиперэкстензия 3x15,Кардио 30 мин,Жим лёжа 4x8
20,94,163,F,Масса,Продвинутый,9618,Зал,Бег 20 мин,Присед 4x10,Плавание 45 мин,Шраги 3x12,Тяга штанги в наклоне 4x10,Жим лёжа 4x8,Гиперэкстензия 3x15
35,94,187,F,Масса,Начинающий,7331,Зал,Бег 20 мин,Плавание 45 мин,Кардио 30 мин,Функционалка 30 мин,Йога 30 мин,Йога 30 мин,Кардио 30 мин
36,74,175,M,Масса,Средний,9133,Зал,Растяжка 15 мин,Бег 20 мин,Бег 20 мин,Растяжка 15 мин,Растяжка 15 мин,Функционалка 30 мин,Жим лёжа 4x8
43,63,190,M,Масса,Начинающий,7359,Зал,Растяжка 15 мин,Плавание 45 мин,Растяжка 15 мин,Гиперэкстензия 3x15,Тяга штанги в наклоне 4x10,Присед 4x10,Тяга штанги в наклоне 4x10
49,71,169,F,Масса,Продвинутый,5762,Зал,Бег 20 мин,Шраги 3x12,Йога 30 мин,Присед 4x10,Плавание 45 мин,Йога 30 мин,Плавание 45 мин
29,77,192,F,Масса,Средний,11417,Зал,Кардио 30 мин,Функционалка 30 мин,Функционалка 30 мин,Бег 20 мин,Присед 4x10,Плавание 45 мин,Гиперэкстензия 3x15
35,76,191,F,Масса,Средний,8053,Зал,Бег 20 мин,Шраги 3x12,Шраги 3x12,Растяжка 15 мин,Тяга штанги в наклоне 4x10,Функционалка 30 мин,Йога 30 мин
24,59,176,F,Масса,Средний,7258,Зал,Кардио 30 мин,Гиперэкстензия 3x15,Присед 4x10,Плавание 45 мин,Гиперэкстензия 3x15,Плавание 45 мин,Гиперэкстензия 3x15
23,81,170,M,Масса,Начинающий,10721,Зал,Функционалка 30 мин,Плавание 45 мин,Функционалка 30 мин,Гиперэкстензия 3x15,Растяжка 15 мин,Плавание 45 мин,Растяжка 15 мин
40,58,186,F,Масса,Средний,5244,Зал,Растяжка 15 мин,Растяжка 15 мин,Кардио 30 мин,Тяга штанги в наклоне 4x10,Шраги 3x12,Кардио 30 мин,Присед 4x10
36,89,189,M,Масса,Начинающий,5861,Зал,Функционалка 30 мин,Йога 30 мин,Функционалка 30 мин,Шраги 3x12,Плавание 45 мин,Кардио 30 мин,Бег 20 мин
24,89,193,M,Масса,Начинающий,5612,Дом,Функционалка 30 мин,Приседания 4x15,Берпи 3x20,Растяжка 15 мин,Планка 3x1 мин,Планка 3x1 мин,Функционалка 30 мин
42,95,162,M,Масса,Начинающий,5502,Дом,Растяжка 15 мин,Приседания 4x15,Приседания 4x15,Функционалка 30 мин,Планка 3x1 мин,Кардио 25 мин,Функционалка 30 мин
51,62,177,F,Масса,Средний,9321,Дом,Функционалка 30 мин,Растяжка 15 мин,Берпи 3x20,Отжимания 4x12,Отжимания 4x12,Йога 30 мин,Планка 3x1 мин
21,80,173,M,Масса,Начинающий,4784,Дом,Кардио 25 мин,Отжимания 4x12,Отжимания 4x12,Приседания 4x15,Планка 3x1 мин,Кардио 25 мин,Растяжка 15 мин
49,77,160,F,Масса,Средний,9741,Дом,Растяжка 15 мин,Отжимания 4x12,Приседания 4x15,Растяжка 15 мин,Функционалка 30 мин,Функционалка 30 мин,Приседания 4x15
21,89,186,M,Масса,Продвинутый,6162,Дом,Растяжка 15 мин,Йога 30 мин,Растяжка 15 мин,Йога 30 мин,Берпи 3x20,Кардио 25 мин,Растяжка 15 мин
18,80,193,M,Масса,Средний,11246,Дом,Функционалка 30 мин,Функционалка 30 мин,Отжимания 4x12,Растяжка 15 мин,Приседания 4x15,Йога 30 мин,Растяжка 15 мин
51,75,178,F,Масса,Средний,5244,Дом,Отжимания 4x12,Приседания 4x15,Йога 30 мин,Приседания 4x15,Берпи 3x20,Функционалка 30 мин,Приседания 4x15
44,90,176,F,Масса,Средний,9284,Дом,Планка 3x1 мин,Кардио 25 мин,Приседания 4x15,Планка 3x1 мин,Отжимания 4x12,Планка 3x1 мин,Отжимания 4x12
29,63,191,M,Масса,Продвинутый,9639,Дом,Приседания 4x15,Отжимания 4x12,Кардио 25 мин,Растяжка 15 мин,Отжимания 4x12,Функционалка 30 мин,Йога 30 мин
55,61,168,F,Масса,Продвинутый,8745,Дом,Йога 30 мин,Приседания 4x15,Планка 3x1 мин,Отжимания 4x12,Функционалка 30 мин,Йога 30 мин,Приседания 4x15
22,89,183,F,Масса,Начинающий,10072,Дом,Отжимания 4x12,Функционалка 30 мин,Отжимания 4x12,Планка 3x1 мин,Йога 30 мин,Функционалка 30 мин,Планка 3x1 мин
42,80,190,M,Масса,Средний,7934,Дом,Планка 3x1 мин,Приседания 4x15,Кардио 25 мин,Кардио 25 мин,Кардио 25 мин,Кардио 25 мин,Приседания 4x15
23,61,162,M,Масса,Начинающий,4761,Дом,Йога 30 мин,Функционалка 30 мин,Отжимания 4x12,Кардио 25 мин,Приседания 4x15,Функционалка 30 мин,Приседания 4x15
47,68,189,M,Масса,Средний,9944,Дом,Растяжка 15 мин,Йога 30 мин,Функционалка 30 мин,Отжимания 4x12,Отжимания 4x12,Йога 30 мин,Кардио 25 мин
34,62,166,M,Масса,Средний,7323,Дом,Отжимания 4x12,Приседания 4x15,Планка 3x1 мин,Отжимания 4x12,Приседания 4x15,Йога 30 мин,Планка 3x1 мин
43,63,188,F,Масса,Продвинутый,10840,Дом,Планка 3x1 мин,Кардио 25 мин,Растяжка 15 мин,Йога 30 мин,Кардио 25 мин,Растяжка 15 мин,Берпи 3x20
47,60,164,F,Масса,Средний,6289,Дом,Планка 3x1 мин,Функционалка 30 мин,Растяжка 15 мин,Берпи 3x20,Функционалка 30 мин,Кардио 25 мин,Планка 3x1 мин
40,70,169,M,Масса,Средний,9961,Дом,Отжимания 4x12,Планка 3x1 мин,Берпи 3x20,Йога 30 мин,Кардио 25 мин,Йога 30 мин,Приседания 4x15
22,65,189,F,Масса,Начинающий,7961,Дом,Отжимания 4x12,Берпи 3x20,Планка 3x1 мин,Планка 3x1 мин,Растяжка 15 мин,Функционалка 30 мин,Функционалка 30 мин
29,56,183,M,Масса,Средний,7381,Дом,Функционалка 30 мин,Функционалка 30 мин,Отжимания 4x12,Растяжка 15 мин,Берпи 3x20,Берпи 3x20,Функционалка 30 мин
44,89,190,M,Масса,Продвинутый,8762,Дом,Берпи 3x20,Приседания 4x15,Планка 3x1 мин,Отжимания 4x12,Отжимания 4x12,Берпи 3x20,Отжимания 4x12
46,81,171,M,Масса,Средний,4759,Дом,Растяжка 15 мин,Берпи 3x20,Кардио 25 мин,Кардио 25 мин,Йога 30 мин,Функционалка 30 мин,Планка 3x1 мин
19,81,162,F,Масса,Продвинутый,4562,Дом,Планка 3x1 мин,Функционалка 30 мин,Растяжка 15 мин,Приседания 4x15,Функционалка 30 мин,Планка 3x1 мин,Планка 3x1 мин
49,76,175,F,Масса,Средний,4737,Дом,Кардио 25 мин,Кардио 25 мин,Кардио 25 мин,Функционалка 30 мин,Кардио 25 мин,Кардио 25 мин,Йога 30 мин
45,67,165,M,Масса,Средний,9114,Дом,Функционалка 30 мин,Берпи 3x20,Растяжка 15 мин,Йога 30 мин,Функционалка 30 мин,Кардио 25 мин,Берпи 3x20
34,77,190,F,Масса,Продвинутый,4662,Дом,Кардио 25 мин,Берпи 3x20,Растяжка 15 мин,Йога 30 мин,Берпи 3x20,Функционалка 30 мин,Берпи 3x20
29,87,170,F,Масса,Продвинутый,8483,Дом,Йога 30 мин,Йога 30 мин,Кардио 25 мин,Планка 3x1 мин,Йога 30 мин,Растяжка 15 мин,Кардио 25 мин
52,92,177,M,Масса,Средний,7770,Дом,Кардио 25 мин,Планка 3x1 мин,Приседания 4x15,Отжимания 4x12,Берпи 3x20,Йога 30 мин,Функционалка 30 мин
24,93,183,M,Масса,Продвинутый,10295,Дом,Берпи 3x20,Планка 3x1 мин,Кардио 25 мин,Приседания 4x15,Планка 3x1 мин,Приседания 4x15,Кардио 25 мин
46,92,191,M,Масса,Начинающий,10315,Дом,Планка 3x1 мин,Берпи 3x20,Планка 3x1 мин,Кардио 25 мин,Функционалка 30 мин,Отжимания 4x12,Функционалка 30 мин
18,91,167,M,Масса,Продвинутый,10737,Дом,Растяжка 15 мин,Растяжка 15 мин,Приседания 4x15,Кардио 25 мин,Кардио 25 мин,Кардио 25 мин,Берпи 3x20
33,71,172,M,Масса,Продвинутый,6720,Дом,Йога 30 мин,Йога 30 мин,Растяжка 15 мин,Йога 30 мин,Приседания 4x15,Йога 30 мин,Растяжка 15 мин
43,66,187,F,Масса,Средний,5130,Дом,Функционалка 30 мин,Приседания 4x15,Йога 30 мин,Берпи 3x20,Йога 30 мин,Йога 30 мин,Приседания 4x15
36,79,169,F,Масса,Начинающий,4496,Дом,Йога 30 мин,Берпи 3x20,Растяжка 15 мин,Отжимания 4x12,Отжимания 4x12,Функционалка 30 мин,Планка 3x1 мин
26,77,161,M,Масса,Начинающий,6993,Дом,Растяжка 15 мин,Отжимания 4x12,Функционалка 30 мин,Берпи 3x20,Функционалка 30 мин,Берпи 3x20,Функционалка 30 мин
31,66,163,M,Масса,Начинающий,4837,Дом,Функционалка 30 мин,Растяжка 15 мин,Отжимания 4x12,Отжимания 4x12,Функционалка 30 мин,Приседания 4x15,Отжимания 4x12
32,82,191,F,Масса,Средний,8934,Дом,Отжимания 4x12,Йога 30 мин,Приседания 4x15,Растяжка 15 мин,Кардио 25 мин,Берпи 3x20,Приседания 4x15
41,83,166,F,Масса,Начинающий,11994,Дом,Йога 30 мин,Функционалка 30 мин,Отжимания 4x12,Отжимания 4x12,Йога 30 мин,Приседания 4x15,Йога 30 мин
55,83,180,M,Масса,Средний,9432,Дом,Приседания 4x15,Отжимания 4x12,Планка 3x1 мин,Планка 3x1 мин,Функционалка 30 мин,Приседания 4x15,Берпи 3x20
47,66,163,F,Масса,Начинающий,9027,Дом,Функционалка 30 мин,Функционалка 30 мин,Йога 30 мин,Приседания 4x15,Отжимания 4x12,Берпи 3x20,Берпи 3x20
38,63,167,F,Масса,Средний,11733,Дом,Приседания 4x15,Планка 3x1 мин,Приседания 4x15,Отжимания 4x12,Растяжка 15 мин,Функционалка 30 мин,Функционалка 30 мин
22,67,195,F,Масса,Продвинутый,7074,Дом,Берпи 3x20,Кардио 25 мин,Функционалка 30 мин,Йога 30 мин,Функционалка 30 мин,Растяжка 15 мин,Планка 3x1 мин
36,87,160,M,Масса,Начинающий,9113,Дом,Отжимания 4x12,Кардио 25 мин,Отжимания 4x12,Планка 3x1 мин,Функционалка 30 мин,Йога 30 мин,Растяжка 15 мин
23,69,195,F,Масса,Начинающий,7275,Дом,Кардио 25 мин,Отжимания 4x12,Отжимания 4x12,Берпи 3x20,Кардио 25 мин,Кардио 25 мин,Функционалка 30 мин
37,67,191,M,Масса,Средний,5009,Дом,Приседания 4x15,Йога 30 мин,Берпи 3x20,Кардио 25 мин,Функционалка 30 мин,Отжимания 4x12,Кардио 25 мин
35,63,173,M,Масса,Средний,8760,Дом,Планка 3x1 мин,Растяжка 15 мин,Кардио 25 мин,Кардио 25 мин,Йога 30 мин,Отжимания 4x12,Йога 30 мин
24,58,161,M,Масса,Средний,5420,Дом,Кардио 25 мин,Отжимания 4x12,Приседания 4x15,Функционалка 30 мин,Растяжка 15 мин,Отжимания 4x12,Приседания 4x15
23,61,192,M,Масса,Начинающий,8250,Дом,Отжимания 4x12,Растяжка 15 мин,Кардио 25 мин,Берпи 3x20,Функционалка 30 мин,Отжимания 4x12,Приседания 4x15
32,57,182,M,Масса,Начинающий,5434,Дом,Растяжка 15 мин,Планка 3x1 мин,Йога 30 мин,Отжимания 4x12,Йога 30 мин,Приседания 4x15,Берпи 3x20
38,71,163,F,Масса,Средний,6327,Дом,Растяжка 15 мин,Приседания 4x15,Планка 3x1 мин,Отжимания 4x12,Кардио 25 мин,Растяжка 15 мин,Функционалка 30 мин
33,85,178,M,Масса,Средний,5003,Дом,Кардио 25 мин,Растяжка 15 мин,Кардио 25 мин,Приседания 4x15,Приседания 4x15,Планка 3x1 мин,Приседания 4x15
51,55,192,F,Масса,Продвинутый,7673,Дом,Йога 30 мин,Функционалка 30 мин,Йога 30 мин,Отжимания 4x12,Отжимания 4x12,Йога 30 мин,Растяжка 15 мин
46,75,185,F,Масса,Средний,11521,Дом,Йога 30 мин,Растяжка 15 мин,Отжимания 4x12,Функционалка 30 мин,Берпи 3x20,Берпи 3x20,Отжимания 4x12
19,89,185,F,Масса,Средний,7819,Дом,Берпи 3x20,Кардио 25 мин,Йога 30 мин,Кардио 25 мин,Приседания 4x15,Кардио 25 мин,Приседания 4x15
20,60,161,F,Масса,Средний,6487,Дом,Приседания 4x15,Кардио 25 мин,Приседания 4x15,Отжимания 4x12,Йога 30 мин,Кардио 25 мин,Растяжка 15 мин
49,56,187,M,Масса,Средний,8601,Дом,Растяжка 15 мин,Кардио 25 мин,Приседания 4x15,Растяжка 15 мин,Кардио 25 мин,Приседания 4x15,Кардио 25 мин
22,81,182,F,Масса,Средний,5040,Дом,Планка 3x1 мин,Йога 30 мин,Берпи 3x20,Растяжка 15 мин,Приседания 4x15,Планка 3x1 мин,Йога 30 мин
39,66,179,F,Масса,Продвинутый,6365,Дом,Планка 3x1 мин,Функционалка 30 мин,Отжимания 4x12,Йога 30 мин,Берпи 3x20,Йога 30 мин,Функционалка 30 мин
37,65,163,M,Масса,Начинающий,6079,Дом,Берпи 3x20,Йога 30 мин,Планка 3x1 мин,Растяжка 15 мин,Йога 30 мин,Отжимания 4x12,Берпи 3x20
24,68,180,F,Масса,Продвинутый,8154,Дом,Функционалка 30 мин,Йога 30 мин,Приседания 4x15,Кардио 25 мин,Приседания 4x15,Берпи 3x20,Кардио 25 мин
24,86,172,M,Масса,Продвинутый,7602,Дом,Функционалка 30 мин,Планка 3x1 мин,Берпи 3x20,Йога 30 мин,Функционалка 30 мин,Отжимания 4x12,Планка 3x1 мин
